  No | MATRICULA | NOMBRE        | APELLIDO P.    |  APELLIDO MAT.   | EDAD  | SEXO       
0      326093          JACOB       HERNANDEZ           SANCHEZ          17       HOMBRE 
1      321433          JOSUE          GARCIA         ONTIVEROS          12       HOMBRE 
2      316187          ALEXA         ANDRADE         ONTIVEROS          14        MUJER 
3      303366            ANA         MARQUEZ         ONTIVEROS          18        MUJER 
4      331552         ALEXIS            LUNA              DIAZ          17       HOMBRE 
5      331511        DENISSE       HERNANDEZ             AVILA          14        MUJER 
6      308302        DENISSE          GARCIA              MORA          19        MUJER 
7      313800          KARLA       HERNANDEZ         ONTIVEROS          20        MUJER 
8      329800          ALEXA         MARQUEZ           SANCHEZ          15        MUJER 
9      327149          ALEXA         MARQUEZ             AVILA          20        MUJER 
10      325569         JULISA           ROJAS         HERNANDEZ          13        MUJER 
11      314734         ALEXIS       ARREDONDO          CARRILLO          14       HOMBRE 
12      315541         ALEXIS            RUIZ         HERNANDEZ          21       HOMBRE 
13      321954           LENY            RUIZ              MORA          15        MUJER 
14      305704         alexis            RUIZ            GUZMAN          15       HOMBRE 
15      319791        VIVIANA           ROJAS            CHAVEZ          13        MUJER 
16      301054          KARLA          GARCIA            GARCIA          12        MUJER 
17      319041         alexis       HERNANDEZ            GUZMAN          19       HOMBRE 
18      328348          JOSUE       ARREDONDO           SANCHEZ          16       HOMBRE 
19      315657         alexis            LUNA            GARCIA          13       HOMBRE 
20      311965            ANA       SIQUEIROS          CARRILLO          12        MUJER 
21      311929          JOSUE           ROJAS              DIAZ          20       HOMBRE 
22      317975          NANCY       SIQUEIROS          URBALEJO          19        MUJER 
23      314173       EMILIANO          GARCIA         HERNANDEZ          13       HOMBRE 
24      321583          KARLA          GARCIA         HERNANDEZ          21        MUJER 
25      322300       SAMANTHA            RUIZ          URBALEJO          14        MUJER 
26      307962       SAMANTHA          ZAVALA              DIAZ          19        MUJER 
27      310223          PABLO       ARREDONDO             LOPEZ          18       HOMBRE 
28      320407        ALDAHIR       ARREDONDO           SANCHEZ          19       HOMBRE 
29      310786        DENISSE         ANDRADE          URBALEJO          17        MUJER 
30      315529       EMILIANO           SHADE            GARCIA          21       HOMBRE 
31      309257         ALEXIS            RUIZ           SANCHEZ          16       HOMBRE 
32      324185            ANA           PEREZ          URBALEJO          20        MUJER 
33      321221        ALDAHIR           SHADE           SANCHEZ          15       HOMBRE 
34      319084        DENISSE          ZAVALA             AVILA          20        MUJER 
35      326135        ROBERTO         ANDRADE            CHAVEZ          12       HOMBRE 
36      320545         ALEXIS         ANDRADE          URBALEJO          15       HOMBRE 
37      301316         ALEXIS         ANDRADE              MORA          18       HOMBRE 
38      305199         alexis          GARCIA             AVILA          19       HOMBRE 
39      322538         alexis           SHADE          CARRILLO          21       HOMBRE 
40      318012        ABRAHAM         ANDRADE            CHAVEZ          14       HOMBRE 
41      320642        DENISSE           SHADE         ONTIVEROS          15        MUJER 
42      319680           LENY          GARCIA            GARCIA          16        MUJER 
43      312311          KARLA          ZAVALA           SANCHEZ          17        MUJER 
44      300828          JULIO            LUNA             AVILA          21       HOMBRE 
45      301190       SAMANTHA            RUIZ          URBALEJO          15        MUJER 
46      326133          JACOB          ZAVALA            GARCIA          13       HOMBRE 
47      307063        DANIELA            RUIZ            CHAVEZ          14        MUJER 
